Producing Company,By-Products,Raw Materials,Processing Costs,Company Requiring Raw Materials,green_score
SteelCraft Industries,Slag,Iron Ore,500,AutoTech Manufacturing,3
IronForge Ltd,Scale,Coal,450,Construction Dynamics,4
MetalMasters Inc,Dust,Scrap Metal,550,HomeBuild Solutions,2
AlloyTech Systems,Scrap,Limestone,480,MachineWorks Co.,5
ForgeMax Enterprises,Residue,Carbon,600,Furniture Designs Ltd,1
TitanAlloys Co.,Shavings,Aluminum,580,PlumbingPro Inc.,4
Precision Steelworks,Sawdust,Coke,520,ApplianceMakers Ltd,3
InnovateMetal Inc,Sparks,Scrap Steel,540,ToolCraft Industries,2
Metallurgy Solutions,Sludge,Iron Sand,560,ShipBuilders Ltd,5
Foundry Innovations,Swarf,Silica,620,AviationTech Corp.,3
MetalForming Dynamics,Filings,Manganese Ore,500,EnergyStructures Inc.,4
IronCraft Technologies,Grains,Chrome Ore,470,ElectroMach Systems,2
SteelSynth Corp,Debris,Nickel Ore,540,IndustrialTech Solutions,1
GlobalMetal Innovations,Chips,Zinc,480,HomeFix Constructions,4
MegaForge Industries,Flakes,Copper Ore,590,HeavyMachinery Co.,5
EcoMetal Solutions,Residue,Tin Ore,510,GreenTech Builders,3
DynamicAlloys Ltd,Dust,Lead Ore,650,Infrastructure Innovators,2
FutureSteel Dynamics,Shavings,Scrap Iron,520,ModularHomes Ltd,4
MetalCrafters Inc,Slag,Iron Ore,600,AutoParts Manufacturing,5
SteelWave Technologies,Scale,Coal,470,ElectroTech Solutions,1
FortressSteel Works,Dust,Scrap Metal,490,DefenseTech Innovations,2
InfiniteMetal Co.,Slag,Iron Sand,530,Transportation Systems,4
MacroMetals Ltd,Sparks,Limestone,570,UrbanDevelopment Corp.,3
PrimeForge Industries,Debris,Carbon,550,MarineTech Solutions,5
UltraAlloys Ltd,Swarf,Aluminum,510,CommunicationStructures Inc.,1
NanoSteel Dynamics,Filings,Coke,520,NanoTech Innovations,3
PinnacleMetals Inc,Grains,Scrap Steel,580,TelecomStructures Ltd,4
VistaForge Technologies,Chips,Silica,500,ArchitecturalDesigns,2
SkylineSteelworks,Flakes,Manganese Ore,540,SkyscraperBuilders Inc.,5
ApexMetal Innovations,Residue,Chrome Ore,560,CableTech Solutions,1
